,country,age,overall_score,gender,country_id
36060,US,20,28,M,234
36061,US,18,25,F,234
36062,GB,40,26,F,78
36063,US,60,25,F,234
36064,US,15,28,M,234
36065,PH,44,30,F,178
36066,US,16,23,F,234
36067,MY,22,27,M,159
36068,MY,22,29,F,159
36069,GB,22,32,M,78
36070,US,17,30,F,234
36071,SG,20,18,0,199
36072,IN,21,27,F,106
36073,US,23,27,F,234
36074,GB,39,25,F,78
36075,AU,21,29,M,13
36076,IN,40,24,M,106
36077,US,19,28,F,234
36078,SG,17,27,F,199
36079,US,38,28,M,234
36080,US,23,30,F,234
36081,US,19,27,F,234
36082,US,13,26,F,234
36083,GB,30,25,M,78
36084,US,47,25,F,234
36085,AU,17,31,M,13
36086,AU,26,26,F,13
36087,US,19,26,M,234
36088,PH,24,26,F,178
36089,US,20,23,F,234
36090,US,18,26,F,234
36091,PH,19,28,F,178
36092,CA,28,25,F,38
36093,CA,26,27,F,38
36094,US,29,29,F,234
36095,AU,15,28,F,13
36096,US,21,27,M,234
36097,US,18,31,F,234
36098,US,17,27,F,234
36099,US,25,32,F,234
36100,PH,32,29,M,178
36101,US,19,25,M,234
36102,US,19,28,M,234
36103,CN,41,30,M,48
36104,ZA,30,25,M,248
36105,CA,52,28,F,38
36106,US,30,31,M,234
36107,EU,21,23,M,70
36108,AU,40,25,F,13
36109,NL,36,23,F,167
36110,AU,16,26,M,13
36111,AU,17,28,F,13
36112,KR,24,24,F,123
36113,PK,21,37,M,179
36114,NL,16,26,F,167
36115,NL,0,29,M,167
36116,IN,37,28,M,106
36117,NL,25,19,M,167
36118,US,15,24,F,234
36119,GB,32,27,M,78
36120,PH,18,16,F,178
36121,BA,34,27,M,17
36122,GB,17,27,F,78
36123,US,15,23,F,234
36124,GB,23,26,M,78
36125,RO,45,10,M,190
36126,NL,55,25,F,167
36127,US,47,25,F,234
36128,US,17,30,F,234
36129,IL,21,29,F,104
36130,AU,21,25,M,13
36131,US,24,29,F,234
36132,US,17,28,F,234
36133,US,16,30,F,234
36134,US,17,24,F,234
36135,GB,53,26,F,78
36136,US,22,26,F,234
36137,US,19,30,F,234
36138,GB,36,24,M,78
36139,RO,21,27,F,190
36140,US,17,26,F,234
36141,US,17,21,M,234
36142,US,18,27,M,234
36143,GB,25,28,M,78
36144,US,17,27,F,234
36145,US,18,27,M,234
36146,GB,32,28,F,78
36147,US,18,26,F,234
36148,KE,25,28,F,116
36149,US,17,28,F,234
